id,code,country_code,parent_id,level,name,native_name,is_active,sort_order,created_at,updated_at
160,,TW,9,2,溪湖鎮,溪湖鎮,1,14,2/12/2025 11:44:23,2/12/2025 11:44:23
161,,TW,9,2,大村鄉,大村鄉,1,15,2/12/2025 11:44:23,2/12/2025 11:44:23
162,,TW,9,2,埔鹽鄉,埔鹽鄉,1,16,2/12/2025 11:44:23,2/12/2025 11:44:23
163,,TW,9,2,田中鎮,田中鎮,1,17,2/12/2025 11:44:23,2/12/2025 11:44:23
164,,TW,9,2,北斗鎮,北斗鎮,1,18,2/12/2025 11:44:23,2/12/2025 11:44:23
165,,TW,9,2,田尾鄉,田尾鄉,1,19,2/12/2025 11:44:23,2/12/2025 11:44:23
166,,TW,9,2,埤頭鄉,埤頭鄉,1,20,2/12/2025 11:44:23,2/12/2025 11:44:23
167,,TW,9,2,溪州鄉,溪州鄉,1,21,2/12/2025 11:44:23,2/12/2025 11:44:23
168,,TW,9,2,竹塘鄉,竹塘鄉,1,22,2/12/2025 11:44:23,2/12/2025 11:44:23
169,,TW,9,2,二林鎮,二林鎮,1,23,2/12/2025 11:44:23,2/12/2025 11:44:23
170,,TW,9,2,大城鄉,大城鄉,1,24,2/12/2025 11:44:23,2/12/2025 11:44:23
171,,TW,9,2,芳苑鄉,芳苑鄉,1,25,2/12/2025 11:44:23,2/12/2025 11:44:23
172,,TW,9,2,二水鄉,二水鄉,1,26,2/12/2025 11:44:23,2/12/2025 11:44:23
173,,TW,10,2,南投市,南投市,1,1,2/12/2025 11:44:23,2/12/2025 11:44:23
174,,TW,10,2,中寮鄉,中寮鄉,1,2,2/12/2025 11:44:23,2/12/2025 11:44:23
175,,TW,10,2,草屯鎮,草屯鎮,1,3,2/12/2025 11:44:23,2/12/2025 11:44:23
176,,TW,10,2,國姓鄉,國姓鄉,1,4,2/12/2025 11:44:23,2/12/2025 11:44:23
177,,TW,10,2,埔里鎮,埔里鎮,1,5,2/12/2025 11:44:23,2/12/2025 11:44:23
178,,TW,10,2,仁愛鄉,仁愛鄉,1,6,2/12/2025 11:44:23,2/12/2025 11:44:23
179,,TW,10,2,名間鄉,名間鄉,1,7,2/12/2025 11:44:23,2/12/2025 11:44:23
180,,TW,10,2,集集鎮,集集鎮,1,8,2/12/2025 11:44:23,2/12/2025 11:44:23
